26,# 26 6 target:0 c+:33 c-:235 score:299.610927362527 score+:517.2982812580049 score-:1715.7419907081128 nb:5 =l_1c_15 l_1c_14 l_1c_19 l_1c_13 l_1c_0 
27,# 27 7 target:0 c+:25 c-:196 score:292.9911712079489 score+:327.3095185576819 score-:1323.4795006647084 nb:4 =l_1c_15 l_1c_1 l_1c_5 l_1c_13 
28,# 28 8 target:0 c+:98 c-:469 score:400.4343755909574 score+:923.330064549715 score-:2284.8069415589703 nb:4 =l_1c_15 l_1c_19 l_1c_18 l_1c_10 
29,# 29 9 target:0 c+:51 c-:317 score:361.382823051501 score+:890.2131993761993 score-:2769.403879244004 nb:7 =l_1c_14 l_1c_13 l_1c_0 l_1c_9 l_1c_6 l_1c_18 l_1c_11 
30,# 30 0 target:1 c+:15 c-:16 score:15.555891203907292 score+:137.75149832535246 score-:66.19439878737893 nb:6 =l_1c_5 l_1c_17 l_1c_8 l_1c_10 l_1c_11 l_1c_16 
31,# 31 1 target:1 c+:8 c-:5 score:13.37666273526592 score+:97.68969356417477 score-:28.131047340791994 nb:7 =l_1c_14 l_1c_13 l_1c_6 l_1c_17 l_1c_8 l_1c_10 l_1c_16 
32,# 32 2 target:1 c+:5 c-:3 score:13.297484043682477 score+:109.23549862236803 score-:32.11009116900968 nb:8 =l_1c_7 l_1c_15 l_1c_14 l_1c_19 l_1c_10 l_1c_1 l_1c_6 l_1c_2 
33,# 33 3 target:1 c+:5 c-:0 score:13.215006759956008 score+:60.78903109579763 score-:0 nb:6 =l_1c_14 l_1c_5 l_1c_9 l_1c_2 l_1c_11 l_1c_16 
34,# 34 4 target:1 c+:5 c-:2 score:10.766474771595597 score+:85.24650263148064 score-:16.341064093268834 nb:9 =l_1c_14 l_1c_1 l_1c_13 l_1c_0 l_1c_6 l_1c_18 l_1c_8 l_1c_2 l_1c_11 
35,# 35 5 target:1 c+:6 c-:1 score:9.271009053998046 score+:42.53231067386056 score-:5.448274457868374 nb:5 =l_1c_1 l_1c_5 l_1c_18 l_1c_17 l_1c_10 
36,# 36 0 target:0 c+:9 c-:546 score:1035.6200077975006 score+:153.2235300630852 score-:4917.075565931588 nb:6 =l_2c_19 l_2c_12 l_2c_16 l_2c_1 l_2c_11 l_2c_10 
37,# 37 1 target:0 c+:31 c-:597 score:906.2315952540683 score+:395.79507112276735 score-:3476.9824949866 nb:4 =l_2c_19 l_2c_12 l_2c_17 l_2c_15 
38,# 38 2 target:0 c+:33 c-:633 score:879.8084982652535 score+:410.3332412920061 score-:3401.6821353938685 nb:4 =l_2c_12 l_2c_16 l_2c_18 l_2c_17 
39,# 39 3 target:0 c+:23 c-:595 score:826.0846629158572 score+:277.6296097938705 score-:3086.317463707785 nb:4 =l_2c_7 l_2c_1 l_2c_6 l_2c_11 
40,# 40 4 target:0 c+:53 c-:643 score:833.4632470503948 score+:656.2519226246789 score-:3490.0269625960213 nb:4 =l_2c_19 l_2c_7 l_2c_15 l_2c_13 
