,dataset,metric,graphid,rule,pred,fidelity,infidelity,mags,spars
0,ba2,cosine,4,20,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,21,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,22,0.28333142399787903,0.3401709198951721,0.14374525845050812,4,0.52
0,ba2,cosine,4,23,0.28333142399787903,0.28333142399787903,0,3,0.0
0,ba2,cosine,4,24,0.28333142399787903,0.14374525845050812,0.7136098146438599,4,0.4
0,ba2,cosine,5,0,0.722817063331604,0.722817063331604,0,15,0.0
0,ba2,cosine,5,1,0.722817063331604,0.35420241951942444,0.7258201241493225,5,0.2
0,ba2,cosine,5,2,0.722817063331604,0.14374566078186035,0.7214120626449585,3,0.76
0,ba2,cosine,5,3,0.722817063331604,0.722817063331604,0,2,0.0
0,ba2,cosine,5,4,0.722817063331604,0.722817063331604,0,4,0.0
0,ba2,cosine,5,5,0.722817063331604,0.2346258908510208,0.6946714520454407,2,0.6
0,ba2,cosine,5,6,0.722817063331604,0.20596842467784882,0.6970815062522888,2,0.64
0,ba2,cosine,5,7,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,8,0.722817063331604,0.7302600145339966,0.7067746520042419,2,0.36
0,ba2,cosine,5,9,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,10,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,11,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,12,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,13,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,14,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,15,0.722817063331604,0.22030293941497803,0.45713067054748535,3,0.24
0,ba2,cosine,5,16,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,17,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,18,0.722817063331604,0.35790371894836426,0.7364557385444641,3,0.12
0,ba2,cosine,5,19,0.722817063331604,0.35790371894836426,0.7364557385444641,3,0.12
0,ba2,cosine,5,20,0.722817063331604,0.28399893641471863,0.7302809357643127,3,0.32
0,ba2,cosine,5,21,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,22,0.722817063331604,0.35420241951942444,0.7258201241493225,4,0.2
0,ba2,cosine,5,23,0.722817063331604,0.722817063331604,0,3,0.0
0,ba2,cosine,5,24,0.722817063331604,0.30379244685173035,0.6592631340026855,4,0.44
0,ba2,cosine,6,0,0.7118849754333496,0.2346258908510208,0.6886290311813354,15,0.6
0,ba2,cosine,6,1,0.7118849754333496,0.32985207438468933,0.7258201241493225,5,0.2
0,ba2,cosine,6,2,0.7118849754333496,0.1437452882528305,0.7190161347389221,3,0.56
0,ba2,cosine,6,3,0.7118849754333496,0.24975810945034027,0.6934493184089661,2,0.44
0,ba2,cosine,6,4,0.7118849754333496,0.7118849754333496,0,4,0.0
0,ba2,cosine,6,5,0.7118849754333496,0.2241990864276886,0.7036618590354919,2,0.56
0,ba2,cosine,6,6,0.7118849754333496,0.1915983408689499,0.7209682464599609,2,0.56
0,ba2,cosine,6,7,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,8,0.7118849754333496,0.24975810945034027,0.6934493184089661,2,0.44
0,ba2,cosine,6,9,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,10,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,11,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,12,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,13,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,14,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,15,0.7118849754333496,0.18396185338497162,0.7214433550834656,3,0.24
0,ba2,cosine,6,16,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,17,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,18,0.7118849754333496,0.3323463201522827,0.7364557385444641,3,0.12
0,ba2,cosine,6,19,0.7118849754333496,0.3323463201522827,0.7364557385444641,3,0.12
0,ba2,cosine,6,20,0.7118849754333496,0.3323463201522827,0.7364557385444641,3,0.12
0,ba2,cosine,6,21,0.7118849754333496,0.7118849754333496,0,3,0.0
0,ba2,cosine,6,22,0.7118849754333496,0.32985207438468933,0.7258201241493225,4,0.2
0,ba2,cosine,6,23,0.7118849754333496,0.7118849754333496,0,3,0.0
