16,# 16 6 target:1 c+:285 c-:352 score:126.57246001028113 score+:4321.3355045519365 score-:3435.3282844799687 nb:10 =l_0c_16 l_0c_11 l_0c_2 l_0c_10 l_0c_12 l_0c_15 l_0c_19 l_0c_4 l_0c_17 l_0c_3 
17,# 17 7 target:1 c+:370 c-:467 score:83.7918076983259 score+:2524.9088465073246 score-:2189.741615714021 nb:5 =l_0c_7 l_0c_0 l_0c_8 l_0c_18 l_0c_3 
18,# 18 8 target:1 c+:1679 c-:2616 score:81.26271517296163 score+:19913.126072714258 score-:19393.044695607303 nb:9 =l_0c_2 l_0c_10 l_0c_12 l_0c_18 l_0c_15 l_0c_6 l_0c_17 l_0c_19 l_0c_3 
19,# 19 9 target:1 c+:77 c-:38 score:37.08279079654327 score+:456.2509316693659 score-:263.4204195273409 nb:7 =l_0c_5 l_0c_0 l_0c_12 l_0c_2 l_0c_14 l_0c_18 l_0c_17 
20,# 20 0 target:0 c+:435 c-:1817 score:2359.03655321642 score+:7127.073547415369 score-:19394.063624140752 nb:7 =l_1c_14 l_1c_9 l_1c_8 l_1c_19 l_1c_10 l_1c_3 l_1c_6 
21,# 21 1 target:0 c+:90 c-:901 score:1436.6183144247696 score+:1538.5772732255484 score-:9870.96349688921 nb:8 =l_1c_0 l_1c_14 l_1c_9 l_1c_10 l_1c_8 l_1c_19 l_1c_7 l_1c_17 
22,# 22 2 target:0 c+:107 c-:792 score:936.0698270192664 score+:548.3286532086651 score-:2607.6822726510513 nb:2 =l_1c_18 l_1c_11 
23,# 23 3 target:0 c+:738 c-:1986 score:776.4266924605508 score+:4118.601132807739 score-:7224.307902649943 nb:5 =l_1c_8 l_1c_7 l_1c_12 l_1c_1 l_1c_13 
24,# 24 4 target:0 c+:174 c-:632 score:660.8426179252441 score+:1976.867294013658 score-:4620.237765714634 nb:5 =l_1c_4 l_1c_14 l_1c_9 l_1c_3 l_1c_13 
25,# 25 5 target:0 c+:279 c-:1429 score:746.5209534237025 score+:1552.6950312837398 score-:3642.9537008701072 nb:3 =l_1c_18 l_1c_14 l_1c_13 
26,# 26 6 target:0 c+:18 c-:147 score:156.59342265567454 score+:285.9533146749805 score-:1006.2830588910833 nb:6 =l_1c_4 l_1c_18 l_1c_14 l_1c_9 l_1c_8 l_1c_19 
27,# 27 7 target:0 c+:5 c-:67 score:80.95544281443334 score+:44.68446384293841 score-:271.3597037233518 nb:3 =l_1c_2 l_1c_14 l_1c_3 
28,# 28 8 target:0 c+:319 c-:1151 score:467.9514288172826 score+:4633.987475896868 score-:7628.876620327476 nb:9 =l_1c_14 l_1c_9 l_1c_19 l_1c_10 l_1c_15 l_1c_13 l_1c_1 l_1c_17 l_1c_6 
